dissecting scalpel, no. 1, 15 cm
dissecting scalpel, no. 2, 15 cm
dissecting scalpel, no. 3, 15.5 cm
dissecting scalpel, no. 4, 16 cm
dissecting scalpel, no. 5, 16 cm
dissecting scalpel, no. 6, 15 cm
dissecting scalpel, no. 7, 15 cm
dissecting scalpel, no. 8, 16 cm
dissecting scalpel, no. 9, 16 cm
dissecting scalpel, no. 10, 17 cm
brain knife, virchow, 30 cm
brain knife, virchow, 33.5 cm
brain knife, virchow, 38 cm
modeling knife handle, nagata, small
modeling knife handle, nagata, big
scissors, delicate, sh/bl, str., 14.5 cm
scissors, delicate, sh/sh, str., 14.5 cm
scissors, delicate, bl/bl, cvd., 14.5 cm
scissors, delicate, sh/bl, cvd., 14.5 cm
scissors, delicate, sh/sh, cvd., 14.5 cm
incision scissors, str., 14.5 cm
scissors, deaver, pd/bl, str., 14.5 cm
scissors, deaver, pd/bl, cvd., 14.5 cm
scissors, mayo, str., 14.5 cm
scissors, mayo, str., 17 cm
scissors, mayo, str., 23.5 cm
scissors, mayo, cvd., 14.5 cm
scissors, mayo, cvd., 17 cm
scissors, mayo, cvd., 23.5 cm
scissors, mayo-harrington, str., 23 cm
scissors, mayo-harrington, cvd., 23 cm
scissors, mayo-harrington, cvd., 28 cm
scissors, mayo-stille, str., 15 cm
scissors, mayo-stille, str., 17 cm
scissors, mayo-stille, cvd., 15 cm
scissors, mayo-stille, cvd., 17 cm
scissors, mayo-stille, str., 16 cm
scissors, mayo-stille, str., 19.5 cm
scissors, mayo-stille, str., 21.5 cm
scissors, mayo-stille, cvd., 16 cm
scissors, mayo-stille, cvd., 19.5 cm
scissors, mayo-stille, cvd., 21.5 cm
scissors, mayo-noble, str., 16.5 cm
scissors, mayo-noble, cvd., 16.5 cm
scissors, sims, bl/bl, str., 20 cm
scissors, sims, bl/bl, str., 23 cm
scissors, sims, bl/bl, cvd., 20 cm
scissors, sims, bl/bl, cvd., 23 cm
scissors, kelly, str., 16 cm
scissors, kelly, cvd., 16 cm
scissors, doyen, bl/bl, str., 18.5 cm
scissors, doyen, bl/bl, cvd., 18.5 cm
scissors, sims-siebold, str., 24.5 cm
scissors, sims-siebold, cvd., 24.5 cm
uterine scissors, cvd., 20 cm
uterine scissors, cvd., 23 cm
dissect. scissors, bl/bl, str., 11.5 cm
dissect. scissors, bl/bl, cvd., 11.5 cm
dissect. scissors, bl/bl, str., 14.5 cm
dissect. scissors, sh/bl, str., 14.5 cm
dissect. scissors, sh/sh, str., 14.5 cm
dissect. scissors, bl/bl, cvd., 14.5 cm
dissect. scissors, sh/bl, cvd., 14.5 cm
dissect. scissors, sh/sh, cvd., 14.5 cm
dissect. scissors, bl/bl, str., 15.5 cm
dissect. scissors, bl/bl, cvd., 15.5 cm
scissors, diss.,metzenb.,bl/bl,str.,18cm
scissors,diss.,metzenb.,bl/bl,str,20,5cm
scissors, diss.,metzenb.,bl/bl,str.,23cm
scissors, diss.,metzenb.,bl/bl,str.,26cm
scissors,diss.,metzenb.,bl/bl,str,28,5cm
scissors, diss.,metzenb.,bl/bl,str.,31cm
dissecting scissors, sh/sh, str., 18 cm
dissecting scissors, str., 20.5 cm
dissecting scissors, cvd., 18 cm
dissecting scissors, cvd., 20.5 cm
dissecting scissors, cvd., 23 cm
dissecting scissors, cvd., 26 cm
dissecting scissors, cvd., 28.5 cm
dissecting scissors, cvd., 31 cm
dissect. scissors, serr., str., 14.5 cm
dissect. scissors, serr., cvd., 14.5 cm
dissect. scissors, sh/sh, str., 15.5 cm
dissect. scissors, sh/sh, cvd., 15.5 cm
scissors, dissecting, kübler 15 cm
scissors, kaye, cvd., serr., 18.5 cm
scissors, gorney, str., serr., 12.5 cm
scissors, gorney, str., serr., 19.5 cm
scissors, gorney, cvd., serr., 19.5 cm
face-lift scissors, aston, str., 17 cm
dissecting scissors, lexer, str., 16 cm
dissecting scissors, lexer, cvd., 16 cm
tc-dissect scissors, hohenfellner, 18 cm
tc-dissect scissors, hohenfellner, 21 cm
tc-dissect scissors, hohenfellner, 24 cm
tc-dissect scissors, debakey, 17,5 cm
tc-dissect scissors, debakey, 20 cm
nasal scissors, cinelli, 11.5 cm
nasal scissors, fomon, cvd., 14 cm
dissect. scissors, thorek, cvd., 18.5 cm
diss. scissors, lexer-baby, str., 10 cm
diss. scissors, lexer-baby, cvd., 10 cm
scissors, lexer, fine, str., 16.5 cm
scissors, lexer, fine, cvd., 16.5 cm
dissect. scissors, fine, str., 14.5 cm
dissect. scissors, fine, cvd., 14.5 cm
scissors, fine, sh/sh, str., 14.5 cm
scissors, fine, sh/sh, cvd., 14.5 cm
scissor, diss., fine, sh/sh, cvd., 18cm
scissor, diss., fine, sh/sh, cvd., 20cm
dissecting scissors, fine, str., 18 cm
dissecting scissors, fine, str., 20.5 cm
dissect. scissors, fine, str., 23 cm
dissect. scissors, fine, cvd., 18 cm
dissect. scissors, fine, cvd., 20.5 cm
dissect. scissors, fine, cvd., 23 cm
dissect. scissors, fine, s-shape, 18 cm
diss. scissors, fine, s-shape, 20.5 cm
dissect. scissors, fine, s-shape, 23 cm
cleft palate scissors, cvd., 12.5 cm
cleft palate scissors, cvd., 18 cm
scissors, sanvenero, sh/sh, str., 14 cm
scissors, sanvenero, sh/sh, cvd., 14 cm
dissect. scissors, fine, str., 11 cm
dissect. scissors, fine, cvd., 11 cm
scissors, joseph, sh/sh, str., 14.5 cm
scissors, joseph, sh/sh, cvd., 14.5 cm
scissors, peck-joseph, str., sh, 14.5 cm
scissors, peck-joseph, cvd., sh, 14.5 cm
scissors, peck-joseph, str., bl, 14.5 cm
scissors, peck-joseph, cvd., bl, 14.5 cm
vein scissors, shea, cvd., 12 cm
dissecting & gum scissors, 13 cm
dissecting scissors, kilner, cvd., 12 cm
dissecting scissors, kilner, cvd., 15 cm
scissor, diss., kilner, bl/bl, cvd.,18cm
scissor, diss., kilner, bl/bl, cvd.,20cm
dissecting scissors, str., 14.5 cm
dissecting scissors, cvd., 14.5 cm
scissor, diss., reynolds, str., 14 cm
scissors, reynolds, str., 15.5 cm
scissor, diss., reynolds, str., 18 cm
scissor, diss., reynolds, cvd., 14 cm
scissors, reynolds, cvd., 15.5 cm
scissors, reynolds, cvd., 18 cm
scissors, jameson, cvd., 15.5 cm
scissors, jameson, cvd., serr., 15.5 cm
micro scissors, str., sh/sh, 12 cm
micro scissors, str., sh/sh, 12 cm
micro scissors, cvd., sh/sh, 12 cm
micro scissors, cvd, sh/bl, 12 cm
micro scissors, cvd, bl/bl, 12 cm
micro scissors, cvd., button-end, 12 cm
micro scissors, cvd., sh/sh, 12 cm
micro scissors, cvd., sh/bl, 12 cm
micro scissors, cvd., bl/bl, 12 cm
micro scissors, cvd., button-end, 12 cm
vasc. scissors, fine, sh/sh, str., 20 cm
vasc. scissors, fine, sh/sh, cvd., 20 cm
vasc. scissors, satinsky, s-shp, 25.5 cm
scissors, diethrich-salyer, ang., 13 cm
scissors, dietrich-potts, 10mm,25°,18cm
scissors, dietrich-potts, 10mm,45°,18cm
scissors, dietrich-potts, 10mm,60°,18cm
scissors, dietrich-potts, 10mm,90°,18cm
scissors, dietrich-potts, 10mm,125°,18cm
dietrich scissors 125 deg wg
sc-scissors,dietrich-potts,10mm,25°,18cm
sc-scissors,dietrich-potts,10mm,45°,18cm
sc-scissors,dietrich-potts,10mm,60°,18cm
sc-scissors,dietrich-potts,10mm,90°,18cm
sc-scissors,dietr.-potts,10mm,125°,18cm
scissors, dietrich-potts, 7mm,25°,18cm
scissors, dietrich-potts, 7mm,45°,18cm
scissors, dietrich-potts, 7mm,60°,18cm
scissors, dietrich-potts, 7mm,90°,18cm
scissors, dietrich-potts, 7mm,125°18cm
sc-scissors,dietrich-potts,7mm,25°,18cm
sc-scissors,dietrich-potts,7mm,45°,18cm
sc-scissors,dietrich-potts,7mm,60°,18cm
sc-scissors,dietrich-potts,7mm,90°,18cm
sc-scissors,dietrich-potts,7mm,125°,18cm
coronary scissors, 25°, 10mm, fl, 21 cm
coronary scissors, 45°, 10mm, fl, 21 cm
coronary scissors, 60°, 10mm, fl, 21 cm
coronary scissors, 90°, 10mm, fl, 21 cm
coronary scissors, 125°, 10mm, fl, 21cm
scissors,dietrich-hegemann,15mm,25°,18cm
scissors,dietrich-hegemann,15mm,45°,18cm
scissors,dietrich-hegemann,15mm,60°,18cm
scissors,dietrich-hegemann,15mm,90°,18cm
scissors,dietr.-hegemann,15mm,125°,18cm
scissors,dietrich-hegemann,15mm,25°,14cm
scissors,dietrich-hegemann,15mm,45°,14cm
scissors,dietrich-hegemann,15mm,60°,14cm
scissors,dietrich-hegemann,15mm,90°,14cm
scissors,dietr.-hegemann,15mm,125°,14cm
vascular scissors, 45°, 16.5 cm
vascular scissors, 60°, 16 cm
scissors, angled 60°, button end, 18 cm
scissors, angled 60°, 18 cm
scissors, angled 40°, 18.5 cm
scissors, angled 25°, 19 cm
tc-scissors, potts-smith, 18 cm
scissors, potts, angled upw., 19.5 cm
tc-scissors, potts-smith, 18,5 cm
coronary scissors, 25°, 10 mm, 18 cm
coronary scissors, 45°, 10 mm, 18 cm
coronary scissors, 60°, 10 mm, 18 cm
coronary scissors, 90°, 10 mm, 18 cm
coronary scissors, 125°, 10 mm, 18 cm
coronary scissors, 25°, 10 mm, rd, 18 cm
coronary scissors, 45°, 10 mm, rd, 18 cm
coronary scissors, 60°, 10 mm, rd, 18 cm
coronary scissors, 90°, 10 mm, rd, 18 cm
coronary sciss., 125°, 10 mm, rd, 18 cm
vascular scissors, favaloro, 14.5 cm
vascular scissors, button, str., 12 cm
coronary scissors, 25°, 10mm, rd, 21 cm
coronary scissors, 45°, 10mm, rd, 21 cm
coronary scissors, 60°, 10mm, rd, 21 cm
coronary scissors, 90°, 10mm, rd, 21 cm
coronary scissors, 125°, 10mm, rd, 21cm
scissors, strully, bl/bl, cvd., 22 cm
scissors, strully, pd/pd, cvd., 22 cm
scissor, schmieden-taylor, 16.5 cm
scissors, toennis-adson, cvd., 17.5 cm
scissors, olivecrona, knee bent, 13 cm
scissors, dean, angled upw., 17.5 cm
scissors, dean, serr., ang. up., 17.5 cm
tonsil scissors, good, cvd., 19.5 cm
tc-nasal scissors, fomon, cvd., 14.5 cm
tc-nasal scissors, cottle, cvd., 16 cm
nasal scissors, fomon, knee bent, 14 cm
scissor, faden, littler, 12 cm
scissor, nose, cottle-m., sh., cvd.,10cm
scissor, nose, fomon, cvd., 12,5 cm
scissor, nose, converse, str., 13,5 cm
nasal scissors, cottle, 15.5 cm
scissor, nose, cottle, angl., 18 cm
scissor, nose, heymann, angl., 20 cm
scissor, nose, cottle-m., bl., cvd.,10cm
nasal scissors, heymann, 18 cm
tc-scissor, nose, giunta, cvd., 13,5 cm
scissor, nose, aufricht, cvd., 14 cm
nasal scissors, heymann, serr., 18 cm
scissor, cart., mcindoe, str., 19 cm
scissors, converse, bl/bl, 10.5 cm
scissors, converse, sh/sh, 10.5 cm
episiotomy scissors, waldmann, 18 cm
perineum sciss., braun-stadler, 14.5 cm
perineum sciss., braun-stadler, 22 cm
umbilical scissors, us type, 10.5 cm
umbilical scissors, schuhmacher, 15.5 cm
umbilical scissors, busch, 16 cm
umbilical scissors, busch, serr., 16 cm
scissors, goldm.-fox, str., serr., 13 cm
scissors, goldm.-fox, cvd., serr., 13 cm
scissors, wagner, sh/sh, str., 12 cm
scissors, wagner, sh/sh, cvd., 12 cm
scissors, delicate, sh/bl, str., 12 cm
scissors, delicate, sh/sh, str., 12 cm
scissors, delicate, sh/bl, cvd., 12 cm
scissors, delicate, sh/sh, cvd., 12 cm
gum scissors, s-shape, 11.5 cm
scissors, delicate, bl/bl, str., 11.5 cm
scissors, delicate, bl/bl, cvd., 11.5 cm
scissors, locklin, angled, serr., 16 cm
scissors, locklin, cvd., serr., 16 cm
scissors, delicate, sh/sh, str., 9 cm
scissors, delicate, sh/sh, cvd., 9 cm
iris scissors, sh/sh, str., 9 cm
iris scissors, sh/sh, str., 10.5 cm
iris scissors, sh/sh, cvd., 9 cm
iris scissors, sh/sh, cvd., 10.5 cm
iris scissors, sh/sh, flat, str.,10.5 cm
iris scissors, bonn, bl/bl, str., 9 cm
iris scissors, bonn, bl/bl, cvd., 9 cm
iris scissors, sh/sh, str., 11.5 cm
iris scissors, sh/sh, cvd., 11.5 cm
iris scissors, sh/sh, cvd. down, 11.5 cm
iris scissors, sh/sh, angled, 11.5 cm
iris scissors, sh/sh, str., 12.5 cm
iris scissors, sh/sh, cvd., 12.5 cm
sc-scissor, fine, sh/sh, str., 11 cm
sc-scissor, fine, sh/sh, cvd., 11 cm
sc-scissor, jabaley, sh/sh, str., 13 cm
sc-scissor, jabaley, sh/sh, cvd., 13 cm
sc scissors, chir., sh/bl, str., 14.5 cm
sc scissors, chir., sh/bl, cvd., 14.5 cm
sc scissors, mayo, str., 14,5 cm
sc scissors, mayo, str., 17 cm
sc scissors, mayo, str., 23,5 cm
sc scissors, mayo, cvd., 14,5 cm
sc scissors, mayo, cvd., 17 cm
sc scissors, mayo, cvd., 23,5 cm
sc scissors, mayo-stille, str., 15 cm
sc scissors, mayo-stille, str., 17 cm
sc scissors, mayo-stille, cvd., 15 cm
sc scissors, mayo-stille, cvd., 17 cm
sc scissors, kelly, str., 16 cm
sc scissors, kelly, cvd., 16 cm
sc-dissect.scissors,metzenb.str. 11,5 cm
sc-dissect.scissors,metzenb.str. 14,5 cm
sc-dissect.scissors,metzenb.cvd. 11,5 cm
sc-dissect.scissors,metzenb.cvd. 14,5 cm
sc-dissect.scissors,metzenb.str. 18 cm
sc-dissect.scissors,metzenb.str. 20,5 cm
sc-dissect.scissors,metzenb.str. 23 cm
sc-dissect.scissors,metzenb.str. 26 cm
sc-dissect.scissors,metzenb.str. 28,5 cm
sc-dissect.scissors,metzenb.str. 31 cm
sc-dissect.scissors,metzenb.cvd. 18 cm
sc-dissect.scissors,metzenb.cvd. 20,5 cm
sc-dissect.scissors,metzenb.cvd. 23 cm
sc-dissect.scissors,metzenb.cvd. 26 cm
sc-dissect.scissors,metzenb.cvd. 28,5 cm
sc-dissect.scissors,metzenb.cvd. 31 cm
sc-diss.scissors,lexer-baby, str., 10 cm
sc-dissect.scissors, lexer, str., 16 cm
sc-diss.scissors,lexer-baby, cvd., 10 cm
sc-dissect.scissors, lexer, cvd., 16 cm
sc-diss.scissors, metz.fine,cvd,14,5 cm
sc-diss.scissors, metz.fine,cvd, 18cm
sc-diss.scissors, metz.fine,cvd, 20,5cm
sc-diss.scissors, metz.fine,cvd, 23cm
sc-scissors, joseph, sh/sh, str., 14,5cm
sc-scissors, joseph, sh/sh, cvc., 14,5cm
sc-dissect.scissors, kilner, cvd., 12 cm
sc-dissect.scissors, kilner, cvd., 15 cm
sc-scissor, diss., kilner, cvd., 18 cm
sc-scissors, reynolds, cvd., 15,5 cm
sc-scissors, reynolds, cvd., 18 cm
sc-scissor, iris, sh/sh, str., 10,5 cm
sc-iris scissors, sh/sh, str., 11,5 cm
sc-scissor, iris, sh/sh, cvd., 10,5 cm
sc-iris scissors, sh/sh, cvd., 11,5 cm
sc-scissors, stevens, sh/sh, str.,10,5cm
sc-scissors, stevens, sh/sh, cvd.,10,5cm
sc-scissors, stevens, bl/bl, str.,10,5cm
sc-scissors, stevens, bl/bl, cvd.,10,5cm
scissor, stevens, bl/bl, str., 10 cm
scissor, stevens, bl/bl, cvd, 10 cm
tenotomy scissors, sh/sh, str., 11 cm
tenotomy scissors, sh/sh, cvd., 11 cm
tenotomy scissors, bl/bl, str., 11 cm
tenotomy scissors, bl/bl, cvd., 11 cm
strabismus sciss., bl/bl, str., 11.5 cm
strabismus sciss., bl/bl, cvd., 11.5 cm
enucleation scissors, cvd., 11.5 cm
micro sciss., sh/sh, str., 15 cm
micro sciss., sh/sh, str., 18 cm
micro sciss., sh/sh, str., 18 cm
micro sciss., sh/sh, cvd., 15 cm
micro sciss., sh/sh, cvd., 18 cm
micro sciss., bl/bl, cvd., 18 cm
micro sciss., bl/bl, cvd., 18 cm
micro sciss., sh/sh, str., 15 cm
micro sciss., sh/sh, str., 18 cm
micro sciss., sh/sh, str., 18 cm
micro sciss., sh/sh, cvd., 15 cm
micro sciss., sh/sh, cvd., 18 cm
micro sciss., bl/bl, cvd., 18 cm
micro sciss., bl/bl, cvd., 18 cm
strabismus scissors, str., 11.5 cm
strabismus scissors, cvd., 11.5 cm
micro vein scissors, biemer, str., 12 cm
micro scissors, sh/sh, str., 10 cm
micro scissors, sh/sh, downw., 9.5 cm
scissors, jaboma, cleft pal., l., 18 cm
scissors, jaboma, cleft pal., r., 18 cm
scissors, jaboma, cleft pal., ang., 18cm
intestinal scissors, w. hook, 21.5 cm
cleft palate scissors, str., 9.5 cm
intestinal scissors, button end, 21.5 cm
rectal scissors, heavy cvd., 32,5 cm
scissors, tenot., stevens,crvd,poi.,10cm
cleft palate scissors, cvd., 10 cm
face lift sciss., kaye, cvd., 11 cm
ligat. scissors, northbent, cvd., 13 cm
scissor, faden, o'brien, angl., 9 cm
ligature scissors, spencer, str., 9 cm
scissor, faden, spencer, str., 10,5 cm
ligature scissors, spencer, str., 13 cm
ligature scissors, buck, str., 14.5 cm
ligature scissors, buck, str., 18 cm
ligature scissors, littauer, str., 14 cm
ligature scissors, eiselsberg, 12 cm
wire scissors, universal, angled, 12 cm
wire sciss., beebee, sh/sh, str., 10 cm
wire sciss., beebee, sh/sh, cvd., 10 cm
wire scissors, sh/sh, str., serr., 12 cm
wire scissors, sh/sh, cvd., serr., 12 cm
scissors, dissecting, aquila,cvd.,11,5cm
aquila dissecting scissors, cvd., 18 cm
aquila dissect. scissors, cvd., 20.5 cm
aquila dissecting-scissors, cvd., 23 cm
aquila dissecting-scissors, cvd., 25 cm
aquila dissecting-scissors, cvd., 30 cm
aquila scissors, cvd., fine, 14.5 cm
aquila scissors, cvd., fine, 18 cm
aquila sciss., cvd., extra fine, 17.5 cm
aquila scissors, mayo-lexer, cvd., 16 cm
tc-scissors, bl/bl, str., 14.5 cm
tc-scissors, bl/bl, cvd., 14.5 cm
tc-scissors, sh/bl, str., 14.5 cm
tc-scissors, sh/bl, cvd., 14.5 cm
tc-scissors, sh/sh, str., 14.5 cm
tc-scissors, sh/sh, cvd., 14.5 cm
tc-scissors, mayo, str., 14.5 cm
tc-scissors, mayo, str., 17 cm
tc-scissors, mayo, str., 23 cm
tc-scissors, mayo, cvd., 14.5 cm
tc-scissors, mayo, cvd., 17 cm
tc-scissors, mayo, cvd., 23 cm
tc-ligature sciss., cvd., serr., 14,5 cm
tc-ligature sciss., cvd., serr., 18 cm
tc-ligature sciss., cvd., serr., 20,5 cm
tc-ligature sciss., cvd., serr., 23 cm
tc-ligature sciss., cvd., serr., 25 cm
tc-ligature sciss., cvd., serr., 30 cm
tc-ligature sciss., cvd., serr., 14,5 cm
tc-ligature sciss., cvd., serr., 17 cm
tc-ligature sciss., cvd., serr., 23 cm
tcc-blackline-scissor, diss., str., 14cm
tcc-blackline-scissor, diss., str., 18cm
tcc-blackline-scissor, diss., str., 20cm
sciss., diss., tcc blackline,cvd.,11,5cm
tcc blackline diss. sciss., cvd., 18 cm
tcc blackline diss. sciss., cvd., 20.5cm
tcc blackline diss. sciss., cvd., 23 cm
tcc blackline diss. sciss., cvd., 25 cm
tcc blackline diss. sciss., cvd., 30 cm
tcc blackline diss. sciss., cvd., 14.5cm
tcc blackline diss. sciss., cvd., 18 cm
tcc-blackline sciss., fine, cvd., 17 cm
tcc-blackline diss. sciss., cvd., 16 cm
tcc-blackline uterine sciss., cvd., 20cm
tcc-blackline uterine sciss., cvd., 23cm
tc-scissors, mayo-stille, str., 14.5 cm
tc-scissors, mayo-stille, str., 17 cm
tc-scissors, mayo-stille, cvd., 14.5 cm
tc-scissors, mayo-stille, cvd., 17 cm
tc-scissor, diss., knapp, str., 12,5 cm
tc-scissor, diss., knapp, cvd., 12,5 cm
tc-dissecting scissors, str., 11.5 cm
tc-dissecting scissors, cvd., 11.5 cm
tc-dissecting scissors, str., 14.5 cm
tc-dissecting scissors, cvd., 14.5 cm
tc-dissecting scissors, str., 18 cm
tc-dissecting scissors, str., 20.5 cm
tc-dissecting scissors, str., 23 cm
tc-dissecting scissors, str., 26 cm
tc-dissecting scissors, str., 28.5 cm
tc-dissecting scissors, str., 31 cm
tc-dissecting scissors, cvd., 18 cm
tc-dissecting scissors, cvd., 20.5 cm
tc-dissecting scissors, cvd., 23 cm
tc-dissecting scissors, cvd., 26 cm
tc-dissecting scissors, cvd., 28.5 cm
tc-dissecting scissors, cvd., 30 cm
tc-scissors, metzenbaum-thorek, 20 cm
tc-scissors, metzenbaum-thorek, 23 cm
tc-scissors, metzenbaum-thorek, 28 cm
tc-sciss., joseph, sh/sh, str., 14.5 cm
tc-sciss., joseph, sh/sh, cvd., 14.5 cm
tc-scissor, diss., lexer, str., 10 cm
tc-scissors, lexer, fine, str., 16 cm
tc-scissors, lexer, fine, str., 21 cm
tc-scissor, diss., lexer, cvd., 10 cm
tc-scissors, lexer, fine, cvd., 16 cm
tc-scissors, lexer, fine, cvd., 21 cm
tc-scissors, mayo-lexer, cvd., 16 cm
tc-diss. scissors, fine, str., 14.5 cm
tc-diss. scissors, fine, cvd., 14.5 cm
tc-diss. scissors, sh/sh, str., 14.5 cm
tc-diss. scissors, sh/sh, cvd., 14.5 cm
tc-diss. scissors, fine, str., 18 cm
tc-diss. scissors, fine, cvd., 18 cm
tc-diss. scissors, fine, cvd., 20.5 cm
tc-diss. scissors, fine, cvd., 23 cm
tc-diss. scissors, fine, cvd., 26 cm
tc-diss. scissors, fine, cvd., 28.5 cm
tc-diss. scissors, sh/sh, str., 18 cm
tc-diss. scissors, sh/sh, str., 20 cm
tc-diss. scissors, sh/sh, str., 23 cm
tc-diss. scissors, lahey, cvd., 14.5 cm
tc-diss. sciss., toennis, cvd., 17.5 cm
tc-diss. scissors, fine, cvd., 20.5 cm
tc-diss. scissors, fine, cvd., 23 cm
tc-diss. scissors, fine, s-shape, 18 cm
tc-diss. scissors, fine, s-sha., 20.5 cm
tc-diss. scissors, fine, s-shape, 23 cm
tc-scissor, siegert, str., 11,5 cm
tc-scissor, siegert, cvd., 11,5 cm
tc-scissor, gorney-freeman, cvd., 17 cm
tc-scissor, gorney-freeman, cvd., 19 cm
tc-scissor, gorney-freeman, cvd., 23 cm
tc-face-lift sciss., str., serr., 20 cm
tc-face-lift sciss., str., serr., 23 cm
tc-scissor, gorney, cvd., 20 cm
tc-scissor, gorney, cvd., 23 cm
tc-face-lift sciss., cvd., serr., 17 cm
tc-scissor, gorney-freeman, angl., 23 cm
aquila uterine sciss., sims, cvd., 20 cm
aquila uterine sciss., sims, cvd., 23 cm
tc-uterine scissors, sims, str., 23 cm
tc-uterine scissors, sims, cvd., 23 cm
tc-parametrium scissors, st. cvd., 22 cm
tc-parametrium scissors, cvd., 23 cm
tc-ligature scissors, sh/sh, str., 13 cm
tc-ligature scissors, sh/sh, cvd., 13 cm
tc-iris scissors, sh/sh, str., 11.5 cm
tc-iris scissors, sh/sh, cvd., 11.5 cm
tc-scissors, de bakey, 25°, 19 cm
tc-scissors, de bakey, 45°, 18.5 cm
tc-scissors, de bakey, 60°, 18 cm
tc-scissors, de bakey, 25°, 23 cm
tc-scissors, de bakey, 45°, 22,5 cm
